 temp:	  etot:	  ekin:	  epot:
   3075.374    	  -925.8349    	   73.04215    	  -998.8771    	   70.10007    
   3070.271    	  -926.1199    	   72.92094    	  -999.0408    	   70.14198    
   3064.688    	  -925.7953    	   72.78787    	  -998.5831    	   70.18370    
   3060.427    	  -926.5906    	   72.68716    	  -999.2778    	   70.14130    
   3056.151    	  -917.5863    	   72.58560    	  -990.1719    	   70.29569    
   3050.757    	  -919.5331    	   72.45749    	  -991.9906    	   70.21117    
   3045.148    	  -931.8820    	   72.32427    	  -1004.206    	   70.04265    
   3040.137    	  -932.6698    	   72.20525    	  -1004.875    	   70.00063    
   3036.652    	  -925.9020    	   72.12247    	  -998.0245    	   70.21084    
   3199.965    	  -892.6548    	   76.00126    	  -968.6561    	   70.80300    
   3025.982    	  -807.0743    	   71.86905    	  -878.9434    	   73.16409    
   3020.480    	  -810.4017    	   71.73838    	  -882.1401    	   72.18984    
   3007.595    	  -810.9633    	   71.43188    	  -882.3951    	   71.77206    
   3004.934    	  -814.9746    	   71.36868    	  -886.3433    	   71.41381    
   3005.202    	  -814.6322    	   71.37552    	  -886.0077    	   71.51370    
   2996.156    	  -813.2911    	   71.16020    	  -884.4513    	   71.78579    
   3013.332    	  -813.0450    	   71.56861    	  -884.6136    	   71.59917    
   2986.004    	  -813.1937    	   70.91909    	  -884.1127    	   71.59898    
   2986.235    	  -816.6274    	   70.92505    	  -887.5525    	   71.54153    
   3115.876    	  -893.9459    	   74.00410    	  -967.9500    	   70.22279    
   2975.944    	  -915.5791    	   70.68062    	  -986.2597    	   69.83036    
   2970.050    	  -912.9960    	   70.54064    	  -983.5367    	   69.98409    
   2966.704    	  -915.1642    	   70.46118    	  -985.6254    	   69.92785    
   2958.603    	  -932.4794    	   70.26830    	  -1002.748    	   69.77404    
   2954.971    	  -932.8748    	   70.18204    	  -1003.057    	   69.74562    
   2949.701    	  -933.3104    	   70.05688    	  -1003.367    	   69.78734    
   2945.274    	  -933.6328    	   69.95220    	  -1003.585    	   69.77323    
   2939.523    	  -934.1474    	   69.81513    	  -1003.963    	   69.77323    
   2935.572    	  -934.4659    	   69.72177    	  -1004.188    	   69.75898    
   2928.325    	  -936.3251    	   69.54916    	  -1005.874    	   69.70301    
   2924.658    	  -936.2601    	   69.46209    	  -1005.722    	   69.67490    
   2921.104    	  -936.9488    	   69.37815    	  -1006.327    	   69.68841    
   2914.173    	  -936.9149    	   69.21307    	  -1006.128    	   69.74393    
   2910.156    	  -932.5282    	   69.11813    	  -1001.646    	   69.75774    
   2905.793    	  -932.7751    	   69.01450    	  -1001.790    	   69.77157    
   2900.192    	  -932.9539    	   68.88148    	  -1001.835    	   69.81322    
   2894.217    	  -933.2462    	   68.73908    	  -1001.985    	   69.78518    
   2889.950    	  -933.3667    	   68.63774    	  -1002.004    	   69.82700    
   2885.532    	  -933.7455    	   68.53330    	  -1002.279    	   69.81292    
   2940.951    	  -911.8640    	   69.84953    	  -981.7135    	   70.24696    
   119085.3    	   1857.752    	   2828.345    	  -970.5923    	   70.72613    
   2869.357    	  -818.2275    	   68.14865    	  -886.3762    	   72.57470    
   2873.121    	  -897.0523    	   68.23852    	  -965.2908    	   71.65135    
   2858.607    	  -914.8353    	   67.89333    	  -982.7286    	   70.48556    
   2855.619    	  -918.2391    	   67.82285    	  -986.0620    	   70.30228    
   24483.74    	  -453.8571    	   581.5032    	  -1035.360    	   70.28793    
   2845.126    	  -932.1722    	   67.57362    	  -999.7458    	   70.24560    
   2840.092    	  -928.8473    	   67.45407    	  -996.3013    	   70.44239    
   2837.077    	  -921.0497    	   67.38245    	  -988.4321    	   70.42814    
   2831.246    	  -922.1489    	   67.24397    	  -989.3928    	   70.38580    
   2823.565    	  -923.1844    	   67.06107    	  -990.2455    	   70.44187    
   2820.599    	  -924.8297    	   66.99109    	  -991.8208    	   70.32890    
   2814.142    	  -924.7710    	   66.83726    	  -991.6083    	   70.34287    
   2809.985    	  -925.9325    	   66.73853    	  -992.6710    	   70.32874    
   2806.981    	  -926.0954    	   66.66766    	  -992.7631    	   70.32861    
   2798.132    	  -924.4138    	   66.45702    	  -990.8708    	   70.30020    
   2796.829    	  -925.2437    	   66.42655    	  -991.6703    	   70.27190    
   2794.529    	  -934.5811    	   66.37193    	  -1000.953    	   70.28579    
   2786.121    	  -937.8910    	   66.17223    	  -1004.063    	   70.21536    
   2781.240    	  -938.8268    	   66.05630    	  -1004.883    	   70.25729    
   2774.872    	  -939.5876    	   65.90458    	  -1005.492    	   70.24297    
   2770.829    	  -939.9905    	   65.80902    	  -1005.799    	   70.20041    
   2764.884    	  -940.1650    	   65.66735    	  -1005.832    	   70.24228    
   2722.831    	  -929.1780    	   64.66858    	  -993.8466    	   70.34068    
   2755.302    	  -828.9624    	   65.44025    	  -894.4026    	   72.90473    
   2746.246    	  -832.8206    	   65.22469    	  -898.0452    	   71.80462    
   2747.520    	  -835.5369    	   65.25543    	  -900.7924    	   71.41770    
   2743.086    	  -834.9108    	   65.15012    	  -900.0610    	   71.31763    
   2732.547    	  -835.4391    	   64.89934    	  -900.3385    	   71.21766    
   2723.769    	  -838.3380    	   64.69085    	  -903.0289    	   71.14637    
   2729.196    	  -839.2662    	   64.82023    	  -904.0864    	   71.04661    
   2723.897    	  -835.6952    	   64.69437    	  -900.3896    	   71.16023    
   2711.927    	  -836.1550    	   64.40959    	  -900.5646    	   71.20273    
   2709.406    	  -838.3297    	   64.34972    	  -902.6794    	   71.00351    
   2709.042    	  -838.7153    	   64.34155    	  -903.0569    	   71.17401    
   2697.428    	  -837.8032    	   64.06525    	  -901.8684    	   71.20233    
   2686.823    	  -839.6628    	   63.81336    	  -903.4762    	   71.11665    
   2686.424    	  -840.5931    	   63.80388    	  -904.3970    	   71.13069    
   2686.960    	  -841.6888    	   63.81709    	  -905.5059    	   71.15903    
   2679.594    	  -843.3104    	   63.64166    	  -906.9520    	   71.10189    
   2671.860    	  -842.4353    	   63.45799    	  -905.8933    	   71.00227    
   2668.113    	  -841.6575    	   63.36899    	  -905.0264    	   71.07314    
   2666.453    	  -843.3381    	   63.33004    	  -906.6682    	   71.17261    
   2656.793    	  -838.5831    	   63.10012    	  -901.6832    	   71.11552    
   2651.334    	  -841.3482    	   62.97049    	  -904.3187    	   71.10120    
   2646.514    	  -843.6535    	   62.85600    	  -906.5095    	   71.03003    
   2641.905    	  -844.6557    	   62.74653    	  -907.4022    	   70.98715    
   2643.164    	  -842.8853    	   62.77690    	  -905.6622    	   70.95860    
   2629.702    	  -846.6331    	   62.45671    	  -909.0898    	   71.08632    
   2634.639    	  -843.3709    	   62.57442    	  -905.9453    	   71.04345    
   2620.272    	  -843.9957    	   62.23273    	  -906.2285    	   70.97231    
   2620.115    	  -847.9727    	   62.22950    	  -910.2021    	   70.98632    
   2612.808    	  -847.0269    	   62.05546    	  -909.0823    	   70.92937    
   2611.041    	  -845.7430    	   62.01397    	  -907.7570    	   71.17079    
   2604.603    	  -847.5585    	   61.86060    	  -909.4191    	   70.97153    
   2596.198    	  -846.4014    	   61.66097    	  -908.0623    	   71.01401    
   2595.090    	  -848.9683    	   61.63511    	  -910.6034    	   70.98545    
   2590.922    	  -845.8359    	   61.53613    	  -907.3720    	   71.05629    
   2585.367    	  -849.3167    	   61.40421    	  -910.7209    	   70.85741    
   2575.959    	  -849.9966    	   61.18027    	  -911.1769    	   70.85725    
   2572.671    	  -849.5962    	   61.10219    	  -910.6984    	   70.92794    
   2572.051    	  -849.3475    	   61.08794    	  -910.4355    	   70.98445    
   2562.538    	  -850.6941    	   60.86152    	  -911.5556    	   70.91338    
   2570.322    	  -850.9741    	   61.04687    	  -912.0209    	   70.91325    
   2553.184    	  -850.3817    	   60.63936    	  -911.0211    	   70.87048    
   2551.094    	  -850.2509    	   60.59021    	  -910.8411    	   70.94120    
   2542.003    	  -850.8958    	   60.37379    	  -911.2695    	   71.09731    
   2540.365    	  -855.0389    	   60.33537    	  -915.3743    	   70.88419    
   2537.000    	  -853.5986    	   60.25544    	  -913.8541    	   70.86984    
   2523.934    	  -852.6404    	   59.94466    	  -912.5851    	   70.96896    
   2526.641    	  -852.3220    	   60.00942    	  -912.3314    	   70.89785    
