 For Al:
 n3=           2	  1.0050251E-03
 n4=        1555	  0.7814071    
 n5=         375	  0.1884422    
 n6=          58	  2.9145729E-02
 n7=           0	  0.0000000E+00
 n8=           0	  0.0000000E+00
 nAl=        1990
 For O:
 no2=         111	  4.0290382E-02
 no3=        2350	  0.8529946    
 no4=         293	  0.1063521    
 no5=           1	  3.6297640E-04
 no6=           0	  0.0000000E+00
 no7=           0	  0.0000000E+00
 nO=        2755
           1	           4	           0
           2	           4	           0
           3	           4	           0
           4	           5	           0
           5	           5	           0
           6	           4	           0
           7	           4	           0
           8	           4	           0
           9	           4	           0
          10	           5	           0
          11	           4	           0
          12	           4	           0
          13	           4	           0
          14	           4	           0
          15	           4	           0
          16	           4	           0
          17	           4	           0
          18	           4	           0
          19	           4	           0
          20	           4	           0
          21	           4	           0
          22	           4	           0
          23	           4	           0
          24	           5	           0
          25	           4	           0
          26	           4	           0
          27	           4	           0
          28	           4	           0
          29	           5	           0
          30	           4	           0
          31	           4	           0
          32	           4	           0
          33	           4	           0
          34	           4	           0
          35	           4	           0
          36	           5	           0
          37	           4	           0
          38	           5	           0
          39	           5	           0
          40	           5	           0
          41	           4	           0
          42	           4	           0
          43	           4	           0
          44	           4	           0
          45	           5	           0
          46	           6	           0
          47	           4	           0
          48	           4	           0
          49	           4	           0
          50	           4	           0
          51	           4	           0
          52	           5	           0
          53	           4	           0
          54	           4	           0
          55	           4	           0
          56	           4	           0
          57	           5	           0
          58	           4	           0
          59	           4	           0
          60	           4	           0
          61	           5	           0
          62	           4	           0
          63	           4	           0
          64	           5	           0
          65	           5	           0
          66	           4	           0
          67	           4	           0
          68	           4	           0
          69	           4	           0
          70	           4	           0
          71	           4	           0
          72	           4	           0
          73	           4	           0
          74	           4	           0
          75	           4	           0
          76	           4	           0
          77	           4	           0
          78	           4	           0
          79	           5	           0
          80	           4	           0
          81	           5	           0
          82	           4	           0
          83	           4	           0
          84	           5	           0
          85	           4	           0
          86	           4	           0
          87	           4	           0
          88	           4	           0
          89	           4	           0
          90	           4	           0
