 i:	h421:	h552:	h422:	h332:	h433:
        2741	           0	           1	           1	           0	           0
        2742	           0	           5	           2	           0	           0
        2743	           2	           0	           0	           0	           0
        2744	           0	           0	           2	           0	           0
        2745	           0	           1	           0	           0	           0
        2746	           0	           1	           0	           0	           0
        2747	           0	           0	           2	           1	           0
        2748	           0	           2	           1	           1	           0
        2749	           0	           2	           0	           0	           0
        2750	           1	           2	           0	           0	           0
        2751	           0	           6	           0	           0	           0
        2752	           0	           8	           0	           0	           0
        2753	           0	           0	           1	           0	           0
        2754	           0	           1	           4	           0	           0
        2755	           0	           2	           0	           0	           0
        2756	           0	           3	           0	           1	           0
        2757	           0	           2	           0	           0	           0
        2758	           0	           0	           1	           0	           0
        2759	           1	           0	           3	           0	           0
        2760	           0	           4	           0	           0	           0
        2761	           1	           2	           0	           0	           0
        2762	           0	           2	           0	           0	           0
        2763	           2	           2	           1	           0	           0
        2764	           1	           2	           0	           0	           0
        2765	           1	           0	           1	           1	           0
        2766	           0	           1	           0	           0	           0
        2767	           0	           0	           2	           0	           0
        2768	           0	           1	           1	           1	           0
        2769	           0	           4	           1	           0	           0
        2770	           0	           0	           1	           0	           0
        2771	           0	           3	           2	           1	           0
        2772	           0	           6	           0	           0	           0
        2773	           0	           3	           1	           0	           0
        2774	           0	           1	           2	           0	           0
        2775	           0	           2	           0	           0	           0
        2776	           0	           3	           0	           0	           0
        2777	           0	           1	           0	           0	           0
        2778	           0	           3	           1	           0	           0
        2779	           0	           9	           0	           0	           0
        2780	           1	           2	           0	           0	           0
        2781	           0	           0	           3	           0	           0
        2782	           0	           2	           0	           1	           0
        2783	           0	           3	           0	           0	           0
        2784	           0	           0	           0	           0	           0
        2785	           1	           1	           1	           0	           0
        2786	           1	           1	           2	           0	           0
        2787	           0	           1	           0	           1	           0
        2788	           0	           1	           1	           0	           0
        2789	           0	           2	           0	           0	           0
        2790	           0	           5	           0	           0	           0
        2791	           0	           4	           0	           0	           0
        2792	           1	           2	           3	           0	           0
        2793	           0	           1	           0	           0	           0
        2794	           0	           0	           1	           0	           0
        2795	           0	           1	           2	           0	           0
        2796	           0	           4	           0	           0	           0
        2797	           1	           0	           3	           0	           0
        2798	           0	           3	           0	           0	           0
        2799	           0	           1	           1	           0	           0
        2800	           1	           1	           3	           0	           0
        2801	           0	           3	           0	           0	           0
        2802	           0	           0	           4	           0	           0
        2803	           1	           0	           1	           0	           0
        2804	           0	           5	           0	           0	           0
        2805	           0	           2	           0	           0	           0
        2806	           1	           0	           0	           0	           0
        2807	           0	           1	           0	           0	           0
        2808	           2	           0	           1	           0	           0
        2809	           0	           1	           0	           0	           0
        2810	           2	           0	           0	           1	           0
        2811	           0	           0	           0	           0	           0
        2812	           2	           1	           0	           0	           0
        2813	           1	           0	           2	           0	           0
        2814	           1	           2	           1	           0	           0
        2815	           0	           0	           2	           1	           0
        2816	           2	           1	           0	           0	           0
        2817	           0	           7	           0	           0	           0
        2818	           0	           1	           3	           0	           0
        2819	           0	           1	           3	           0	           0
        2820	           0	           0	           0	           0	           0
        2821	           0	           2	           0	           0	           0
        2822	           0	           0	           0	           0	           0
        2823	           0	           0	           1	           0	           0
        2824	           1	           0	           1	           0	           0
        2825	           2	           0	           1	           0	           0
        2826	           0	           2	           2	           0	           0
        2827	           0	           0	           0	           1	           0
        2828	           0	           2	           0	           0	           0
        2829	           1	           0	           0	           0	           0
        2830	           3	           1	           1	           0	           0
        2831	           1	           1	           0	           0	           0
        2832	           0	           5	           0	           0	           0
        2833	           0	           5	           1	           0	           0
        2834	           0	           2	           0	           0	           0
        2835	           1	           1	           2	           0	           0
        2836	           0	           2	           2	           0	           0
        2837	           1	           0	           0	           0	           0
        2838	           1	           0	           3	           0	           0
        2839	           0	           1	           1	           0	           0
        2840	           1	           1	           0	           0	           0
        2841	           0	           1	           0	           0	           0
        2842	           0	           0	           1	           0	           0
        2843	           0	           1	           6	           0	           0
        2844	           0	           2	           1	           0	           0
        2845	           0	           6	           0	           1	           0
        2846	           0	           1	           4	           0	           0
        2847	           0	           2	           1	           0	           0
        2848	           0	           0	           1	           0	           0
        2849	           0	           3	           0	           0	           0
        2850	           0	           3	           1	           0	           0
        2851	           0	           1	           1	           0	           0
        2852	           0	           5	           0	           0	           0
        2853	           0	           1	           0	           0	           0
        2854	           1	           2	           3	           0	           0
        2855	           0	           5	           0	           0	           0
        2856	           3	           1	           1	           0	           0
        2857	           1	           0	           2	           0	           0
        2858	           0	           6	           0	           0	           0
        2859	           1	           1	           0	           0	           0
        2860	           0	           1	           3	           1	           0
        2861	           0	           1	           0	           1	           0
        2862	           0	           5	           0	           0	           0
        2863	           0	           3	           1	           0	           0
        2864	           0	           2	           1	           0	           0
        2865	           0	           2	           0	           0	           0
        2866	           1	           0	           1	           0	           0
        2867	           0	           4	           1	           0	           0
        2868	           0	           2	           0	           0	           0
        2869	           0	           2	           0	           0	           0
        2870	           2	           0	           1	           0	           0
        2871	           0	           3	           0	           0	           0
        2872	           0	           3	           0	           0	           0
        2873	           0	           1	           0	           0	           0
        2874	           0	           4	           0	           0	           0
        2875	           0	           0	           2	           0	           0
        2876	           0	           2	           1	           0	           0
        2877	           0	           2	           2	           1	           0
        2878	           3	           2	           0	           0	           0
        2879	           1	           1	           1	           0	           0
        2880	           0	           2	           2	           0	           0
        2881	           0	           4	           2	           0	           0
        2882	           1	           0	           2	           0	           0
        2883	           0	           2	           0	           0	           0
        2884	           1	           1	           0	           0	           0
        2885	           5	           1	           0	           0	           0
        2886	           0	           0	           1	           0	           0
        2887	           0	           4	           2	           0	           0
        2888	           0	           2	           0	           1	           0
        2889	           0	           2	           1	           0	           0
        2890	           1	           2	           0	           0	           0
        2891	           0	           1	           1	           1	           0
        2892	           0	           3	           0	           0	           0
        2893	           0	           1	           1	           1	           0
        2894	           0	           2	           0	           0	           0
        2895	           1	           2	           2	           0	           0
        2896	           0	           1	           0	           0	           0
        2897	           0	           0	           0	           0	           0
        2898	           0	           1	           0	           1	           0
        2899	           0	           4	           0	           0	           0
        2900	           0	           1	           0	           0	           0
        2901	           0	           2	           0	           0	           0
        2902	           0	           2	           1	           0	           0
        2903	           0	           2	           0	           0	           0
        2904	           1	           0	           0	           0	           0
        2905	           0	           0	           0	           0	           0
        2906	           0	           3	           3	           0	           0
        2907	           0	           5	           0	           0	           0
        2908	           0	           2	           0	           0	           0
        2909	           1	           7	           0	           0	           0
        2910	           0	           4	           1	           0	           0
        2911	           0	           2	           1	           0	           0
        2912	           1	           0	           2	           0	           0
        2913	           0	           3	           0	           0	           0
        2914	           0	           0	           1	           0	           0
        2915	           0	           6	           0	           0	           0
        2916	           0	           1	           0	           0	           0
        2917	           0	           1	           4	           0	           0
        2918	           0	           3	           0	           1	           0
        2919	           0	           2	           0	           0	           0
        2920	           1	           2	           2	           0	           0
        2921	           3	           1	           0	           0	           0
        2922	           0	           1	           3	           0	           0
        2923	           0	           2	           0	           0	           0
        2924	           1	           1	           0	           0	           0
        2925	           0	           1	           0	           0	           0
        2926	           0	           1	           1	           0	           0
        2927	           2	           0	           1	           0	           0
        2928	           1	           1	           0	           1	           0
        2929	           1	           1	           0	           0	           0
        2930	           0	           8	           0	           0	           0
        2931	           3	           0	           0	           0	           0
        2932	           0	           2	           0	           0	           0
        2933	           0	           1	           0	           1	           0
        2934	           0	           1	           2	           2	           0
        2935	           0	           0	           1	           0	           0
        2936	           0	           4	           0	           1	           0
        2937	           0	           2	           0	           0	           0
        2938	           0	           1	           2	           0	           0
        2939	           1	           0	           4	           0	           0
        2940	           0	           6	           0	           0	           0
        2941	           0	           1	           2	           0	           0
        2942	           1	           2	           0	           0	           0
        2943	           0	           1	           0	           0	           0
        2944	           0	           1	           0	           0	           0
        2945	           0	           1	           1	           1	           0
        2946	           0	           0	           3	           0	           0
        2947	           0	           2	           0	           0	           0
        2948	           1	           2	           1	           0	           0
        2949	           0	           1	           2	           0	           0
        2950	           1	           0	           0	           0	           0
        2951	           0	           0	           0	           1	           0
        2952	           0	           1	           0	           0	           0
        2953	           0	           2	           2	           0	           0
        2954	           0	           4	           0	           0	           0
        2955	           1	           0	           1	           0	           0
        2956	           0	           2	           0	           0	           0
        2957	           0	           5	           0	           0	           0
        2958	           0	           2	           0	           0	           0
        2959	           0	           1	           0	           0	           0
        2960	           1	           0	           0	           0	           0
        2961	           0	           4	           0	           0	           0
        2962	           1	           0	           0	           0	           0
        2963	           0	           2	           0	           0	           0
        2964	           1	           4	           0	           0	           0
        2965	           1	           2	           2	           0	           0
        2966	           1	           0	           0	           1	           0
        2967	           0	           1	           0	           0	           0
        2968	           0	           6	           0	           1	           0
        2969	           0	           1	           1	           0	           0
        2970	           3	           0	           2	           0	           0
        2971	           0	           3	           0	           0	           0
        2972	           0	           0	           0	           0	           0
        2973	           0	           0	           1	           0	           0
        2974	           1	           1	           1	           0	           0
        2975	           0	           0	           4	           0	           0
        2976	           0	           3	           0	           0	           0
        2977	           1	           1	           4	           0	           0
        2978	           0	           2	           0	           0	           0
        2979	           0	           2	           0	           0	           0
        2980	           0	           3	           1	           0	           0
        2981	           0	           2	           0	           0	           0
        2982	           0	           2	           2	           0	           0
        2983	           0	           6	           0	           0	           0
        2984	           0	           1	           0	           1	           0
        2985	           0	           0	           0	           0	           0
        2986	           1	           1	           1	           0	           0
        2987	           0	           3	           0	           0	           0
        2988	           0	           0	           2	           0	           0
        2989	           0	           5	           0	           0	           0
        2990	           0	           0	           0	           0	           0
        2991	           0	           4	           0	           0	           0
        2992	           0	           1	           0	           0	           0
        2993	           0	           3	           0	           1	           0
        2994	           1	           0	           2	           0	           0
        2995	           2	           0	           0	           0	           0
        2996	           0	           3	           0	           0	           0
        2997	           0	           1	           3	           0	           0
        2998	           0	           2	           0	           0	           0
        2999	           1	           0	           6	           0	           0
        3000	           0	           2	           0	           0	           0
        3001	           0	           7	           0	           1	           0
        3002	           0	           1	           1	           0	           0
        3003	           0	           3	           0	           0	           0
        3004	           1	           0	           4	           0	           0
        3005	           0	           0	           4	           0	           0
        3006	           1	           1	           0	           0	           0
        3007	           0	           3	           1	           0	           0
        3008	           0	           2	           0	           0	           0
        3009	           0	           5	           0	           1	           0
        3010	           0	           2	           0	           0	           0
        3011	           0	           7	           0	           0	           0
        3012	           0	           1	           0	           0	           0
        3013	           0	           0	           0	           0	           0
        3014	           0	           3	           0	           0	           0
        3015	           0	           1	           0	           1	           0
        3016	           1	           0	           0	           0	           0
        3017	           0	           3	           0	           0	           0
        3018	           0	           3	           0	           0	           0
        3019	           1	           0	           2	           1	           0
        3020	           3	           0	           2	           0	           0
        3021	           0	           3	           0	           0	           0
        3022	           0	           2	           3	           0	           0
        3023	           1	           2	           0	           0	           0
        3024	           0	           4	           2	           0	           0
        3025	           0	           1	           2	           1	           0
        3026	           0	           0	           0	           0	           0
        3027	           0	           3	           0	           0	           0
        3028	           0	           0	           0	           0	           0
        3029	           0	           3	           0	           0	           0
        3030	           0	           5	           0	           0	           0
        3031	           0	           2	           0	           0	           0
        3032	           0	           3	           0	           0	           0
        3033	           0	           2	           5	           0	           0
        3034	           1	           3	           0	           0	           0
        3035	           1	           1	           1	           0	           0
        3036	           0	           1	           2	           0	           0
        3037	           3	           1	           2	           0	           0
        3038	           0	           3	           0	           0	           0
        3039	           0	           4	           1	           0	           0
        3040	           0	           4	           0	           0	           0
        3041	           0	           3	           0	           0	           0
        3042	           0	           0	           0	           0	           0
        3043	           0	           1	           0	           0	           0
        3044	           0	           1	           1	           0	           0
        3045	           1	           1	           1	           0	           0
        3046	           1	           3	           0	           0	           0
        3047	           0	           1	           0	           0	           0
        3048	           0	           0	           2	           0	           0
        3049	           0	           2	           1	           0	           0
        3050	           2	           0	           0	           0	           0
        3051	           0	           2	           1	           0	           0
        3052	           1	           1	           0	           0	           0
        3053	           0	           0	           0	           0	           0
        3054	           1	           0	           0	           0	           0
        3055	           0	           0	           2	           0	           0
        3056	           0	           0	           1	           0	           0
        3057	           0	           1	           0	           2	           0
        3058	           0	           3	           0	           0	           0
        3059	           1	           3	           0	           0	           0
        3060	           1	           0	           2	           0	           0
        3061	           0	           3	           0	           0	           0
        3062	           0	           1	           2	           0	           0
        3063	           1	           0	           1	           0	           0
        3064	           1	           0	           0	           1	           0
        3065	           0	           6	           2	           0	           0
        3066	           0	           1	           2	           0	           0
        3067	           1	           0	           3	           0	           0
        3068	           1	           0	           2	           0	           0
        3069	           0	           2	           0	           0	           0
        3070	           0	           3	           0	           0	           0
        3071	           0	           2	           0	           0	           0
        3072	           2	           0	           2	           0	           0
        3073	           0	           2	           2	           0	           0
        3074	           0	           7	           0	           0	           0
        3075	           2	           1	           0	           0	           0
        3076	           0	           2	           3	           0	           0
        3077	           0	           4	           0	           0	           0
        3078	           0	           2	           1	           0	           0
        3079	           0	           2	           3	           0	           0
        3080	           0	           1	           0	           0	           0
        3081	           0	           3	           1	           0	           0
        3082	           0	           1	           3	           0	           0
        3083	           0	           0	           0	           0	           0
        3084	           0	           3	           0	           0	           0
        3085	           0	           4	           1	           0	           0
        3086	           1	           2	           2	           0	           0
        3087	           0	           2	           0	           0	           0
        3088	           0	           1	           2	           0	           0
        3089	           0	           5	           2	           0	           0
        3090	           3	           1	           0	           0	           0
        3091	           0	           1	           2	           0	           0
        3092	           0	           4	           0	           0	           0
        3093	           0	           0	           1	           0	           0
        3094	           0	           3	           0	           0	           0
        3095	           8	           0	           0	           0	           0
        3096	           1	           1	           1	           0	           0
        3097	           2	           0	           2	           0	           0
        3098	           0	           0	           0	           0	           0
        3099	           0	           3	           1	           0	           0
        3100	           0	           2	           2	           0	           0
        3101	           0	           8	           0	           0	           0
        3102	           0	           2	           3	           0	           0
        3103	           0	           2	           2	           0	           0
        3104	           0	           0	           0	           0	           0
        3105	           4	           0	           1	           0	           0
        3106	           1	           0	           0	           0	           0
        3107	           1	           2	           0	           0	           0
        3108	           0	           3	           0	           0	           0
        3109	           6	           0	           2	           0	           0
        3110	           1	           0	           0	           0	           0
        3111	           0	           1	           3	           0	           0
        3112	           0	           5	           0	           0	           0
        3113	           1	           0	           1	           0	           0
        3114	           0	           2	           2	           0	           0
        3115	           0	           5	           0	           0	           0
        3116	           0	           5	           2	           0	           0
        3117	           0	           0	           1	           0	           0
        3118	           0	           5	           2	           0	           0
        3119	           0	           0	           1	           1	           0
        3120	           0	           3	           0	           0	           0
        3121	           0	           2	           1	           0	           0
        3122	           1	           0	           4	           0	           0
        3123	           0	           1	           0	           0	           0
        3124	           1	           1	           0	           0	           0
        3125	           0	           0	           1	           0	           0
        3126	           1	           0	           0	           0	           0
        3127	           0	           2	           0	           0	           0
        3128	           0	           6	           2	           0	           0
        3129	           0	           4	           0	           0	           0
        3130	           0	           2	           0	           2	           0
        3131	           2	           1	           3	           0	           0
        3132	           0	           2	           0	           0	           0
        3133	           0	           5	           0	           0	           0
        3134	           1	           0	           0	           1	           0
        3135	           0	           1	           2	           0	           0
        3136	           0	           1	           0	           1	           0
        3137	           0	           2	           2	           0	           0
        3138	           0	           1	           2	           0	           0
        3139	           0	           1	           0	           0	           0
        3140	           0	           2	           0	           0	           0
        3141	           1	           2	           0	           0	           0
        3142	           2	           0	           2	           0	           0
        3143	           1	           1	           2	           0	           0
        3144	           0	           2	           0	           0	           0
        3145	           0	           1	           1	           0	           0
        3146	           0	           2	           0	           0	           0
        3147	           0	           3	           2	           0	           0
        3148	           0	           0	           4	           0	           0
        3149	           0	           3	           0	           0	           0
        3150	           0	           2	           4	           0	           0
        3151	           0	           0	           0	           0	           0
        3152	           0	           1	           1	           0	           0
        3153	           0	           1	           0	           1	           0
        3154	           0	           4	           0	           0	           0
        3155	           0	           3	           2	           0	           0
        3156	           2	           0	           1	           0	           0
        3157	           0	           2	           0	           0	           0
        3158	           1	           1	           1	           0	           0
        3159	           0	           3	           1	           0	           0
        3160	           0	           3	           0	           1	           0
        3161	           1	           0	           5	           0	           0
        3162	           0	           2	           3	           0	           0
        3163	           1	           2	           0	           0	           0
        3164	           1	           0	           0	           0	           0
        3165	           1	           2	           1	           0	           0
        3166	           0	           3	           3	           0	           0
        3167	           0	           1	           2	           0	           0
        3168	           0	           2	           1	           0	           0
        3169	           0	           4	           0	           0	           0
        3170	           0	           1	           1	           0	           0
        3171	           1	           3	           0	           0	           0
        3172	           0	           4	           0	           0	           0
        3173	           1	           0	           0	           0	           0
        3174	           0	           2	           0	           0	           0
        3175	           0	           1	           0	           0	           0
        3176	           0	           5	           1	           0	           0
        3177	           0	           3	           0	           0	           0
        3178	           0	           5	           0	           0	           0
        3179	           1	           0	           0	           0	           0
        3180	           0	           2	           2	           0	           0
        3181	           0	           3	           2	           0	           0
        3182	           0	           5	           0	           0	           0
        3183	           0	           0	           0	           0	           0
        3184	           0	           5	           2	           0	           0
        3185	           0	           2	           0	           0	           0
        3186	           0	           1	           0	           0	           0
        3187	           1	           0	           3	           0	           0
        3188	           0	           5	           0	           0	           0
        3189	           2	           0	           2	           0	           0
        3190	           0	           1	           1	           0	           0
        3191	           0	           3	           0	           0	           0
        3192	           0	           1	           0	           0	           0
        3193	           0	           0	           2	           0	           0
        3194	           0	           1	           0	           0	           0
        3195	           0	           2	           2	           0	           0
        3196	           0	           3	           0	           0	           0
        3197	           0	           1	           1	           0	           0
        3198	           1	           0	           3	           0	           0
        3199	           1	           0	           0	           0	           0
        3200	           0	           2	           1	           0	           0
        3201	           1	           3	           0	           0	           0
        3202	           1	           1	           1	           0	           0
        3203	           1	           2	           1	           0	           0
        3204	           0	           7	           0	           0	           0
        3205	           0	           1	           0	           0	           0
        3206	           0	           1	           1	           0	           0
        3207	           0	           4	           0	           0	           0
        3208	           0	           1	           0	           1	           0
        3209	           1	           1	           0	           0	           0
        3210	           1	           1	           0	           0	           0
        3211	           0	           3	           0	           0	           0
        3212	           0	           0	           2	           0	           0
        3213	           0	           5	           0	           0	           0
        3214	           1	           1	           2	           0	           0
        3215	           0	           1	           0	           0	           0
        3216	           0	           0	           3	           0	           0
        3217	           0	           3	           0	           0	           0
        3218	           0	           3	           0	           0	           0
        3219	           2	           2	           1	           0	           0
        3220	           0	           3	           0	           1	           0
        3221	           2	           2	           1	           0	           0
        3222	           1	           1	           0	           0	           0
        3223	           0	           1	           1	           1	           0
        3224	           0	           4	           2	           0	           0
        3225	           0	           4	           0	           0	           0
        3226	           0	           2	           0	           0	           0
        3227	           2	           0	           3	           0	           0
        3228	           1	           3	           0	           0	           0
        3229	           0	           2	           0	           0	           0
        3230	           0	           1	           0	           0	           0
        3231	           0	           2	           1	           0	           0
        3232	           0	           3	           0	           0	           0
        3233	           1	           4	           2	           0	           0
        3234	           0	           1	           2	           0	           0
        3235	           0	           3	           0	           0	           0
        3236	           2	           0	           1	           0	           0
        3237	           1	           3	           0	           0	           0
        3238	           1	           0	           3	           0	           0
        3239	           1	           0	           0	           0	           0
        3240	           0	           2	           0	           0	           0
        3241	           3	           1	           2	           0	           0
        3242	           1	           5	           0	           0	           0
        3243	           1	           1	           1	           0	           0
        3244	           1	           5	           2	           0	           0
        3245	           0	           7	           0	           0	           0
        3246	           0	           7	           0	           0	           0
        3247	           0	           3	           1	           0	           0
        3248	           1	           0	           1	           1	           0
        3249	           0	           1	           1	           0	           0
        3250	           0	           0	           0	           0	           0
        3251	           0	           3	           2	           0	           0
        3252	           0	           2	           3	           0	           0
        3253	           0	           4	           0	           0	           0
        3254	           0	           2	           1	           0	           0
        3255	           2	           3	           3	           0	           0
        3256	           0	           2	           0	           1	           0
        3257	           2	           0	           0	           0	           0
        3258	           0	           3	           0	           0	           0
        3259	           0	           1	           2	           0	           0
        3260	           0	           2	           2	           0	           0
        3261	           0	           0	           1	           0	           0
        3262	           0	           2	           1	           0	           0
        3263	           1	           0	           2	           0	           0
        3264	           0	           5	           0	           0	           0
        3265	           0	           5	           2	           0	           0
        3266	           0	           1	           0	           0	           0
        3267	           0	           0	           0	           0	           0
        3268	           1	           1	           1	           0	           0
        3269	           0	           1	           0	           0	           0
        3270	           0	           4	           0	           0	           0
        3271	           0	           5	           0	           0	           0
        3272	           0	           2	           0	           0	           0
        3273	           1	           1	           1	           0	           0
        3274	           0	           1	           3	           0	           0
        3275	           1	           0	           0	           0	           0
        3276	           0	           0	           1	           0	           0
        3277	           0	           0	           0	           1	           0
        3278	           0	           5	           0	           0	           0
        3279	           0	           3	           0	           0	           0
        3280	           0	           3	           2	           0	           0
        3281	           0	           0	           1	           0	           0
        3282	           0	           3	           2	           0	           0
        3283	           0	           1	           1	           1	           0
        3284	           0	           2	           0	           0	           0
        3285	           1	           0	           2	           0	           0
        3286	           0	           3	           0	           0	           0
        3287	           0	           0	           1	           0	           0
        3288	           0	           2	           0	           0	           0
        3289	           0	           2	           1	           0	           0
        3290	           0	           3	           0	           0	           0
        3291	           1	           3	           0	           0	           0
        3292	           0	           0	           0	           0	           0
        3293	           1	           1	           4	           0	           0
        3294	           0	           0	           1	           0	           0
        3295	           0	           7	           0	           1	           0
        3296	           0	           2	           2	           0	           0
        3297	           0	           1	           1	           0	           0
        3298	           0	           1	           0	           0	           0
        3299	           0	           3	           0	           0	           0
        3300	           1	           3	           2	           0	           0
        3301	           0	           3	           0	           0	           0
        3302	           0	           0	           1	           0	           0
        3303	           0	           0	           0	           0	           0
        3304	           0	           2	           0	           0	           0
        3305	           0	           2	           2	           0	           0
        3306	           0	           2	           1	           0	           0
        3307	           0	           1	           0	           0	           0
        3308	           0	           3	           1	           0	           0
        3309	           0	           1	           2	           0	           0
        3310	           0	           1	           1	           0	           0
        3311	           0	           6	           0	           0	           0
        3312	           1	           1	           1	           0	           0
        3313	           0	           0	           0	           0	           0
        3314	           0	           4	           0	           0	           0
        3315	           1	           2	           0	           0	           0
        3316	           0	           4	           0	           0	           0
        3317	           0	           1	           3	           0	           0
