 Distribution of h552:
 ico12:	           0	  0.0000000E+00
 ico11:	           0	  0.0000000E+00
 ico10:	           7	  2.3333333E-03
 ico9:	           2	  6.6666666E-04
 ico8:	          21	  7.0000002E-03
 ico7:	          37	  1.2333333E-02
 ico6:	          74	  2.4666667E-02
 ico5:	         154	  5.1333334E-02
 ico4:	         244	  8.1333332E-02
 ico3:	         403	  0.1343333    
 ico2:	         555	  0.1850000    
 ico1:	         762	  0.2540000    
 
 Distribution of h332:
 ico12:	           0	  0.0000000E+00
 ico11:	           0	  0.0000000E+00
 ico10:	           0	  0.0000000E+00
 ico9:	           0	  0.0000000E+00
 ico8:	           0	  0.0000000E+00
 ico7:	           0	  0.0000000E+00
 ico6:	           0	  0.0000000E+00
 ico5:	           0	  0.0000000E+00
 ico4:	           0	  0.0000000E+00
 ico3:	           0	  0.0000000E+00
 ico2:	          10	  3.3333334E-03
 ico1:	         208	  6.9333330E-02
 
 i:	h552:	h332:	neib:
        2209	           1	           0	          12
        2210	           6	           0	          13
        2211	           0	           0	          13
        2212	           4	           0	          13
        2213	           1	           0	          10
        2214	           2	           0	          13
        2215	           2	           0	          13
        2216	           3	           0	          13
        2217	           3	           0	          12
        2218	           3	           0	          14
        2219	           4	           0	          13
        2220	           4	           0	          12
        2221	           0	           1	          13
        2222	           1	           0	          13
        2223	           2	           0	          12
        2224	           0	           0	          13
        2225	           0	           0	          12
        2226	           4	           0	          14
        2227	           5	           0	          13
        2228	           8	           0	          14
        2229	           1	           0	          14
        2230	           0	           0	          11
        2231	           1	           0	          13
        2232	           4	           0	          13
        2233	           2	           0	          13
        2234	           3	           0	          14
        2235	           0	           0	          13
        2236	           3	           0	          14
        2237	           1	           1	          14
        2238	           5	           0	          13
        2239	           4	           0	          14
        2240	           0	           0	          10
        2241	           4	           0	          14
        2242	           2	           0	          12
        2243	           1	           0	          12
        2244	           1	           0	          13
        2245	           1	           0	          14
        2246	           3	           0	          15
        2247	           1	           0	          14
        2248	           1	           0	          15
        2249	           2	           0	          14
        2250	           1	           0	          12
        2251	           4	           0	          13
        2252	           0	           0	          12
        2253	           1	           0	          15
        2254	           0	           0	          13
        2255	           4	           0	          14
        2256	           1	           0	          13
        2257	           0	           0	          14
        2258	           1	           0	          13
        2259	           3	           0	          14
        2260	           1	           0	          13
        2261	           1	           1	          13
        2262	           1	           0	          12
        2263	           1	           0	          12
        2264	           4	           0	          15
        2265	           1	           0	          14
        2266	           0	           0	          13
        2267	           8	           0	          12
        2268	           1	           0	          12
        2269	           1	           0	          11
        2270	           2	           0	          13
        2271	           2	           0	          13
        2272	           2	           0	          13
        2273	           0	           0	          10
        2274	           3	           0	          13
        2275	           0	           0	          11
        2276	           1	           0	          14
        2277	           3	           0	          14
        2278	           2	           0	          12
        2279	           0	           0	          11
        2280	           3	           0	          15
        2281	           1	           0	          14
        2282	           2	           0	          12
        2283	           0	           0	          11
        2284	           3	           0	          14
        2285	           0	           1	          13
        2286	           4	           0	          14
        2287	           0	           0	          11
        2288	           0	           0	          12
        2289	           5	           0	          14
        2290	           0	           0	          12
        2291	           4	           0	          13
        2292	           3	           1	          13
        2293	           4	           0	          13
        2294	           2	           0	          13
        2295	           1	           0	          11
        2296	           0	           1	          12
        2297	           3	           0	          13
        2298	           1	           0	          14
        2299	           2	           0	          12
        2300	           1	           0	          12
        2301	           0	           0	          12
        2302	           0	           1	          14
        2303	           0	           0	          12
        2304	           2	           0	          13
        2305	           0	           0	          13
        2306	           1	           1	          14
        2307	           2	           0	          12
        2308	           1	           0	          13
        2309	           2	           0	          13
        2310	           1	           0	          12
        2311	           5	           0	          14
        2312	           5	           0	          13
        2313	           0	           0	          12
        2314	           1	           0	          13
        2315	           7	           0	          13
        2316	           1	           0	          13
        2317	           6	           0	          13
        2318	           5	           0	          13
        2319	           2	           0	          15
        2320	           3	           0	          13
        2321	           5	           0	          15
        2322	           3	           0	          14
        2323	           5	           0	          14
        2324	           0	           0	          11
        2325	           2	           0	          15
        2326	           7	           0	          14
        2327	           3	           0	          15
        2328	           1	           0	          14
        2329	           2	           0	          14
        2330	           3	           0	          13
        2331	           4	           0	          14
        2332	           3	           0	          14
        2333	           0	           0	          14
        2334	           0	           0	          10
        2335	           2	           0	          11
        2336	           1	           0	          14
        2337	           0	           0	          12
        2338	           3	           0	          13
        2339	           1	           0	          13
        2340	           4	           0	          13
        2341	           1	           0	          13
        2342	           1	           0	          13
        2343	           1	           0	          14
        2344	           0	           0	          12
        2345	           1	           0	          13
        2346	           2	           0	          14
        2347	           0	           0	          12
        2348	           0	           0	          11
        2349	           1	           0	          14
        2350	           8	           0	          15
        2351	           0	           0	          12
        2352	           3	           0	          14
        2353	           0	           0	          14
        2354	           1	           0	          14
        2355	           0	           0	          15
        2356	           4	           0	          14
        2357	           2	           0	          14
        2358	           1	           0	          13
        2359	           2	           1	          12
        2360	           3	           0	          12
        2361	           3	           0	          13
        2362	           1	           0	          13
        2363	           6	           0	          14
        2364	           0	           0	          15
        2365	           2	           0	          13
        2366	           3	           0	          12
        2367	           1	           0	          14
        2368	           1	           0	          13
        2369	           0	           0	          12
        2370	           0	           0	          14
        2371	           1	           0	          13
        2372	           3	           1	          13
        2373	           4	           0	          14
        2374	           2	           0	          14
        2375	           1	           0	          14
        2376	           2	           0	          12
        2377	           2	           0	          11
        2378	           0	           0	          13
