    67.66891    	   67.66891    	   67.66891    
        5000
           1    17.20751        4.804824        39.65485    	           1
           2    52.04243        13.27595        2.274460    	           1
           3    33.02911        20.30953        19.43748    	           1
           4    64.77235        41.74274        48.02597    	           1
           5    8.278359        24.17579        19.59895    	           1
           6    34.12278        48.72161        47.04132    	           1
           7    63.73167        65.74855        35.38811    	           1
           8    4.031718        4.668508       2.9187173E-02	           1
           9    63.18246        48.65933        21.36232    	           1
          10    8.025443        16.36591        10.20707    	           1
          11    10.59957        56.30342        43.00617    	           1
          12    46.14769        38.30744        29.80328    	           1
          13    15.40879        42.03875        32.75611    	           1
          14    54.65974        55.84267        7.875798    	           1
          15    48.64587        18.83192        23.10192    	           1
          16    9.439609        51.42260        36.99751    	           1
          17    8.338277        59.51023        21.87903    	           1
          18    34.53415        46.09216        54.94269    	           1
          19    57.84883        26.07673        11.21392    	           1
          20    63.86192        2.399511        39.24814    	           1
          21    50.36155        39.62556        32.93700    	           1
          22    6.941437        34.42200        65.82609    	           1
          23    10.98147        23.03374        3.709567    	           1
          24    23.75338        16.16619        20.71697    	           1
          25    64.01801        60.42409        66.75493    	           1
          26    34.00400        23.35849        49.95032    	           1
          27    35.97723        40.50388        56.97491    	           1
          28    21.45651        44.65559        22.88751    	           1
          29    28.99430        47.67612        66.56048    	           1
          30    9.188621        52.56315        47.35495    	           1
          31    64.30872        9.683298        9.750864    	           1
          32    45.60133        52.20603        39.90595    	           1
          33    27.01539        15.93133        11.24856    	           1
          34    57.53956        43.40240        23.49564    	           1
          35    51.99024        7.109336        35.91213    	           1
          36    7.441917        38.58277        29.87086    	           1
          37    46.15527        10.57110        33.31906    	           1
          38    11.81997        66.76426        51.56804    	           1
          39    63.29320        36.83940        8.104004    	           1
          40    15.71911        34.69498        63.71534    	           1
          41    55.82199        29.07022        7.144607    	           1
          42    47.27231        46.71252        46.04151    	           1
          43    46.75489        17.38882        41.65226    	           1
          44    30.04655        43.84807        6.721516    	           1
          45    42.72737        23.10341        66.24448    	           1
          46    6.454468        30.53229        9.263210    	           1
          47    24.55304        6.644663        59.78826    	           1
          48    1.092682        65.57209        33.92839    	           1
          49    58.44219        35.65416        39.12859    	           1
