 temp:	  etot:	  ekin:	  epot:
   3002.040    	  -824.4496    	   71.30042    	  -895.7501    	   67.74963    
   2997.856    	  -825.7524    	   71.20058    	  -896.9530    	   67.68180    
   3007.192    	  -825.2716    	   71.42280    	  -896.6944    	   67.64101    
   2988.260    	  -826.6188    	   70.97267    	  -897.5915    	   67.66797    
   3002.263    	  -825.9533    	   71.30573    	  -897.2590    	   67.69492    
   3001.890    	  -826.4984    	   71.29687    	  -897.7953    	   67.66771    
   3000.104    	  -825.4108    	   71.25443    	  -896.6652    	   67.69462    
   2998.882    	  -826.5101    	   71.22495    	  -897.7350    	   67.68098    
   2999.981    	  -826.0353    	   71.25105    	  -897.2864    	   67.70787    
   2998.771    	  -827.2127    	   71.22231    	  -898.4350    	   67.70763    
   3002.515    	  -825.4117    	   71.31171    	  -896.7234    	   67.63982    
   2994.457    	  -824.0405    	   71.11985    	  -895.1604    	   67.73434    
   2997.475    	  -825.8785    	   71.19152    	  -897.0700    	   67.69356    
   3006.736    	  -827.4905    	   71.41195    	  -898.9025    	   67.73404    
   2995.540    	  -826.2437    	   71.14558    	  -897.3893    	   67.66615    
   2996.494    	  -823.4111    	   71.16823    	  -894.5793    	   67.80154    
   3001.501    	  -825.3979    	   71.28762    	  -896.6855    	   67.65240    
   3004.333    	  -825.8059    	   71.35489    	  -897.1608    	   67.73355    
   3000.485    	  -825.6118    	   71.26348    	  -896.8752    	   67.73328    
   3008.187    	  -824.9440    	   71.44641    	  -896.3904    	   67.74675    
   2999.103    	  -824.0355    	   71.23019    	  -895.2657    	   67.73307    
   2999.808    	  -823.8982    	   71.24693    	  -895.1451    	   67.73286    
   2997.357    	  -825.7996    	   71.18871    	  -896.9883    	   67.74625    
   2995.711    	  -826.3607    	   71.14964    	  -897.5103    	   67.67840    
   2996.997    	  -825.8113    	   71.18018    	  -896.9915    	   67.73233    
   2990.827    	  -827.0572    	   71.03364    	  -898.0908    	   67.75918    
   3003.192    	  -825.3881    	   71.32778    	  -896.7159    	   67.78610    
   2998.997    	  -825.4741    	   71.22767    	  -896.7018    	   67.71809    
   3001.340    	  -826.7848    	   71.28380    	  -898.0686    	   67.70438    
   2996.966    	  -824.0573    	   71.17943    	  -895.2368    	   67.74487    
   2997.261    	  -824.4461    	   71.18645    	  -895.6326    	   67.74463    
   2999.292    	  -826.6664    	   71.23468    	  -897.9011    	   67.69016    
   2999.694    	  -824.7328    	   71.24423    	  -895.9770    	   67.66288    
   2997.417    	  -828.0928    	   71.19016    	  -899.2830    	   67.67620    
   2999.326    	  -824.8657    	   71.23550    	  -896.1011    	   67.66251    
   3005.153    	  -825.5538    	   71.37437    	  -896.9282    	   67.71653    
   3005.187    	  -826.5067    	   71.37517    	  -897.8818    	   67.70278    
   2991.519    	  -825.9251    	   71.05006    	  -896.9752    	   67.70267    
   2995.358    	  -824.3823    	   71.14126    	  -895.5235    	   67.74315    
   3004.637    	  -822.5410    	   71.36210    	  -893.9031    	   67.74287    
   2998.785    	  -826.9845    	   71.22264    	  -898.2072    	   67.70203    
   3002.214    	  -826.7610    	   71.30454    	  -898.0656    	   67.63413    
   3006.731    	  -825.3416    	   71.41183    	  -896.7534    	   67.72873    
   3000.667    	  -825.8851    	   71.26781    	  -897.1530    	   67.68796    
   2999.245    	  -826.1442    	   71.23357    	  -897.3777    	   67.66061    
   3001.847    	  -824.3415    	   71.29584    	  -895.6373    	   67.66048    
   2996.663    	  -825.2522    	   71.17223    	  -896.4244    	   67.63326    
   3000.314    	  -827.1870    	   71.25943    	  -898.4465    	   67.66016    
   2998.280    	  -823.8228    	   71.21065    	  -895.0334    	   67.76842    
   2990.064    	  -824.9081    	   71.01550    	  -895.9236    	   67.72758    
   2999.212    	  -826.7320    	   71.23278    	  -897.9648    	   67.65958    
   3005.379    	  -826.9165    	   71.37973    	  -898.2962    	   67.64581    
   2988.876    	  -825.7770    	   70.98730    	  -896.7643    	   67.67271    
   2996.449    	  -826.9560    	   71.16717    	  -898.1232    	   67.68612    
   3003.734    	  -825.6404    	   71.34066    	  -896.9811    	   67.67245    
   3000.875    	  -825.8853    	   71.27274    	  -897.1580    	   67.65873    
   2999.008    	  -825.8977    	   71.22794    	  -897.1257    	   67.69919    
   3004.749    	  -826.7966    	   71.36477    	  -898.1613    	   67.64484    
   3003.377    	  -828.4775    	   71.33219    	  -899.8097    	   67.63114    
   2991.561    	  -823.4972    	   71.05106    	  -894.5483    	   67.68514    
   2998.470    	  -827.3051    	   71.21515    	  -898.5202    	   67.67144    
   2993.629    	  -825.8232    	   71.10019    	  -896.9234    	   67.65778    
   2989.109    	  -827.4463    	   70.99284    	  -898.4391    	   67.65756    
   3001.839    	  -824.8508    	   71.29565    	  -896.1464    	   67.72516    
   3001.823    	  -825.2730    	   71.29528    	  -896.5683    	   67.71145    
   2999.509    	  -825.2610    	   71.23982    	  -896.5009    	   67.73840    
   2992.638    	  -824.6163    	   71.07664    	  -895.6929    	   67.65700    
   3005.964    	  -823.1039    	   71.39362    	  -894.4976    	   67.72456    
   2999.520    	  -824.8172    	   71.24009    	  -896.0573    	   67.71088    
   2996.154    	  -824.8087    	   71.16014    	  -895.9689    	   67.72429    
   2999.420    	  -824.2957    	   71.23772    	  -895.5334    	   67.71058    
   3003.728    	  -824.7418    	   71.34052    	  -896.0823    	   67.66987    
   3000.292    	  -826.3613    	   71.25891    	  -897.6202    	   67.71035    
   3001.028    	  -827.7852    	   71.27638    	  -899.0615    	   67.65608    
   2997.415    	  -825.9739    	   71.19010    	  -897.1641    	   67.65594    
   3001.791    	  -824.3691    	   71.29449    	  -895.6636    	   67.69640    
   2998.294    	  -827.2127    	   71.21099    	  -898.4237    	   67.66915    
   3002.636    	  -826.8617    	   71.31457    	  -898.1763    	   67.68250    
   3010.397    	  -825.5834    	   71.49890    	  -897.0823    	   67.70941    
   3005.061    	  -825.9799    	   71.37216    	  -897.3520    	   67.69572    
